timestamp,session_file,cwd,command,matched_pattern,surrounding_text,id,package_version,client,db,success,exit_code,result_status,empty_result,result_size,duration_total_ms,duration_load_ms,duration_query_ms,target_raw,start_raw
2026-08-28T16:03:17.822Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph module ifs_financial_product_entry --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1061; query_ms=0; total_ms=1121; result_size=12; summary={""extended_fields_count"":0,""extended_models_count"":3,""original_fields_count"":9,""original_models_count"":0}",41,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,12,1121,1061,0,ifs_financial_product_entry,
2026-08-28T16:03:19.374Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.entry.merchant.confirm_merchant --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1022; query_ms=0; total_ms=1086; result_size=3; summary={""defined_in_classes_count"":3,""override_depth"":3}",42,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,3,1086,1022,0,ifs.gar.entry.merchant.confirm_merchant,
2026-08-28T16:03:20.900Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.review.merchant.route.wizard.action_confirm --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1067; query_ms=0; total_ms=1135; result_size=2; summary={""defined_in_classes_count"":2,""override_depth"":2}",43,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,2,1135,1067,0,ifs.gar.review.merchant.route.wizard.action_confirm,
2026-08-28T16:03:22.459Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.review.merchant.funder.approve.wizard.action_confirm --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1038; query_ms=0; total_ms=1108; result_size=2; summary={""defined_in_classes_count"":2,""override_depth"":2}",44,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,2,1108,1038,0,ifs.gar.review.merchant.funder.approve.wizard.action_confirm,
2026-08-28T16:03:24.006Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.entry.merchant._ensure_loan_and_sub_accounts_for_confirmed_merchant --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1093; query_ms=0; total_ms=1161; result_size=2; summary={""defined_in_classes_count"":2,""override_depth"":2}",45,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,2,1161,1093,0,ifs.gar.entry.merchant._ensure_loan_and_sub_accounts_for_confirmed_merchant,
2026-08-28T16:03:25.628Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.entry.merchant._lock_product_plan_version_after_factor_route --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1102; query_ms=0; total_ms=1168; result_size=2; summary={""defined_in_classes_count"":2,""override_depth"":2}",46,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,2,1168,1102,0,ifs.gar.entry.merchant._lock_product_plan_version_after_factor_route,
2026-08-28T16:03:27.252Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.entry.merchant._revalidate_locked_product_plan_version_for_funder_approval --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1142; query_ms=0; total_ms=1210; result_size=2; summary={""defined_in_classes_count"":2,""override_depth"":2}",47,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,2,1210,1142,0,ifs.gar.entry.merchant._revalidate_locked_product_plan_version_for_funder_approval,
2026-08-28T16:03:28.921Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.entry.merchant.product_plan_version_id --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1172; query_ms=0; total_ms=1236; result_size=1; summary={""downstream_count"":1,""primary_count_name"":""downstream_count"",""upstream_count"":0}",48,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1236,1172,0,ifs.gar.entry.merchant.product_plan_version_id,
2026-08-28T16:03:30.615Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.loan.account.credit_partition_mode --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_empty; exit_code=0; load_ms=1090; query_ms=0; total_ms=1160; result_size=0; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":0}",49,1.8.0,cursor,unified-production-m3-20260828,1,0,success_empty,1,0,1160,1090,0,ifs.gar.loan.account.credit_partition_mode,
2026-08-28T16:03:32.225Z,cursor:d9ef82fb-7c77-4706-8d56-d31e83d9410b,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.route.wizard.product_plan_version_id --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_empty; exit_code=0; load_ms=1066; query_ms=0; total_ms=1130; result_size=0; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":0}",50,1.8.0,cursor,unified-production-m3-20260828,1,0,success_empty,1,0,1130,1066,0,ifs.gar.review.merchant.route.wizard.product_plan_version_id,
