"id","country_id:id","state_id:id","code","name","revision"
mca_area_130408,base.cn,base.state_cn_HE,"130408","永年区","201904"
mca_area_130423,base.cn,base.state_cn_HE,"130423","临漳县","201904"
mca_area_130424,base.cn,base.state_cn_HE,"130424","成安县","201904"
mca_area_130425,base.cn,base.state_cn_HE,"130425","大名县","201904"
mca_area_130426,base.cn,base.state_cn_HE,"130426","涉县","201904"
mca_area_130427,base.cn,base.state_cn_HE,"130427","磁县","201904"
mca_area_130430,base.cn,base.state_cn_HE,"130430","邱县","201904"
mca_area_130431,base.cn,base.state_cn_HE,"130431","鸡泽县","201904"
mca_area_130432,base.cn,base.state_cn_HE,"130432","广平县","201904"
mca_area_130433,base.cn,base.state_cn_HE,"130433","馆陶县","201904"
mca_area_130434,base.cn,base.state_cn_HE,"130434","魏县","201904"
mca_area_130435,base.cn,base.state_cn_HE,"130435","曲周县","201904"
mca_area_130481,base.cn,base.state_cn_HE,"130481","武安市","201904"
mca_area_130500,base.cn,base.state_cn_HE,"130500","邢台市","201904"
mca_area_130502,base.cn,base.state_cn_HE,"130502","桥东区","201904"
mca_area_130503,base.cn,base.state_cn_HE,"130503","桥西区","201904"
mca_area_130521,base.cn,base.state_cn_HE,"130521","邢台县","201904"
mca_area_130522,base.cn,base.state_cn_HE,"130522","临城县","201904"
mca_area_130523,base.cn,base.state_cn_HE,"130523","内丘县","201904"
mca_area_130524,base.cn,base.state_cn_HE,"130524","柏乡县","201904"
mca_area_130525,base.cn,base.state_cn_HE,"130525","隆尧县","201904"
mca_area_130526,base.cn,base.state_cn_HE,"130526","任县","201904"
mca_area_130527,base.cn,base.state_cn_HE,"130527","南和县","201904"
mca_area_130528,base.cn,base.state_cn_HE,"130528","宁晋县","201904"
mca_area_130529,base.cn,base.state_cn_HE,"130529","巨鹿县","201904"
mca_area_130530,base.cn,base.state_cn_HE,"130530","新河县","201904"
mca_area_130531,base.cn,base.state_cn_HE,"130531","广宗县","201904"
mca_area_130532,base.cn,base.state_cn_HE,"130532","平乡县","201904"
mca_area_130533,base.cn,base.state_cn_HE,"130533","威县","201904"
mca_area_130534,base.cn,base.state_cn_HE,"130534","清河县","201904"
mca_area_130535,base.cn,base.state_cn_HE,"130535","临西县","201904"
mca_area_130581,base.cn,base.state_cn_HE,"130581","南宫市","201904"
mca_area_130582,base.cn,base.state_cn_HE,"130582","沙河市","201904"
mca_area_130600,base.cn,base.state_cn_HE,"130600","保定市","201904"
mca_area_130602,base.cn,base.state_cn_HE,"130602","竞秀区","201904"
mca_area_130606,base.cn,base.state_cn_HE,"130606","莲池区","201904"
mca_area_130607,base.cn,base.state_cn_HE,"130607","满城区","201904"
mca_area_130608,base.cn,base.state_cn_HE,"130608","清苑区","201904"
mca_area_130609,base.cn,base.state_cn_HE,"130609","徐水区","201904"
mca_area_130623,base.cn,base.state_cn_HE,"130623","涞水县","201904"
mca_area_130624,base.cn,base.state_cn_HE,"130624","阜平县","201904"
mca_area_130626,base.cn,base.state_cn_HE,"130626","定兴县","201904"
mca_area_130627,base.cn,base.state_cn_HE,"130627","唐县","201904"
mca_area_130628,base.cn,base.state_cn_HE,"130628","高阳县","201904"
mca_area_130629,base.cn,base.state_cn_HE,"130629","容城县","201904"
mca_area_130630,base.cn,base.state_cn_HE,"130630","涞源县","201904"
mca_area_130631,base.cn,base.state_cn_HE,"130631","望都县","201904"
mca_area_130632,base.cn,base.state_cn_HE,"130632","安新县","201904"
mca_area_130633,base.cn,base.state_cn_HE,"130633","易县","201904"
mca_area_130634,base.cn,base.state_cn_HE,"130634","曲阳县","201904"
mca_area_130635,base.cn,base.state_cn_HE,"130635","蠡县","201904"
mca_area_130636,base.cn,base.state_cn_HE,"130636","顺平县","201904"
mca_area_130637,base.cn,base.state_cn_HE,"130637","博野县","201904"
mca_area_130638,base.cn,base.state_cn_HE,"130638","雄县","201904"
mca_area_130681,base.cn,base.state_cn_HE,"130681","涿州市","201904"
mca_area_130682,base.cn,base.state_cn_HE,"130682","定州市","201904"
